estandar	dialectal	whisper
[A-Inn]	[A-Inn]	Y
yo	yo	ya
lo	lo	me袖ex
movía	movía	ve
así	así	учente
con	con	estás
un	un	petrol
trozo	trozo	te
así	así	lo
de	de	vi
madera	madera	como
~.	~.	un
[HS:I1	[HS:I1	trozo
		Per-			Per-	así
~,	~,	bekmailé
¿~	¿~	como
qué	qué	ya
le	le	estaba,
echabas	echabas	sí
~?	~?	con
¿~	¿~	el
qué	qué	di92
le	le	tune
echabas	echabas	las
~?	~?	cosmos
		]			]	así
[A-Inn]	[A-Inn]
echaba	echaba
las	las
cosas	cosas
~.	~.
[HS:I1	[HS:I1
		[HCruz:			[HCruz:
		Empieza			Empeza
		]			]
~.	~.
		]			]
