estandar	dialectal	whisper
Igual	Igual	igual
que	que	que
los	los	los
jabalís	jabalís	jabalíes,
~,	~,	claro.
claro	claro	Te
~.	~.	un
Que	Que	accidente
un	un	con
accidente	accidente	un
con	con	jabalí,
un	un	pues,
~…	~…	el
jabalí	jabalí	coche
pues	pues	ya
el	el	prácticamente
coche	coche	más
ya	ya	vale
~…	~…	que
prácticamente	prácticamente	no
~…	~…	lo
m-	m-	hagas
~,	~,	a
más	más	reglar
vale	vale	y
que	que	compres
no	no	otro,
lo	lo	porque
hagas	hagas	es
arreglar	arreglar	como
y	y	golpear
compres	compres	una
otro	otro	roca,
porque	porque	un
[HS:E1	[HS:E1	jabalí
		Ya			Ya
~.	~.
		]			]
es	es
como	como
golpear	golpear
una	una
roca	roca
~.	~.
Un	Un
jabalí	jabalí
grande	grande
~.	~.
[Asent]	[Asent]
~.	~.
