estandar	dialectal	whisper
Yo	Yo	que嘉ía
he	he	creer
tenido	tenido	industrialismo
uno	uno	es
aquí	aquí	una
y	y	forma
otro	otro	que
en	en	toi,
Mérida	Mérida	también
~,	~,	aquí
pero	pero	en
en	en	estos
casa	casa	abogados,
 	 	también
 	 	laанд
 	 	development
 	 	de
 	 	laückense
 	 	recto,
 	 	porque
 	 	es
 	 	más
 	 	la
 	 	imagen
 	 	que
 	 	alguien
 	 	esta
 	 	presentable
 	 	para
 	 	ver
 	 	hacia
 	 	las
 	 	Österreichas.
 	 	Y
 	 	si
 	 	es
 	 	una你要
 	 	de
 	 	una
 	 	forma
 	 	muy
 	 	dispara-
 	 	si
 	 	dimos
 	 	Sana
 	 	Princess
 	 	los
 	 	ins了吧
 	 	dos
