estandar	dialectal	whisper
Quemar	Quemar	que
todo	todo	marran
~,	~,	todos
todos	todos	todos
los	los	los
libros	libros	libros
y	y	y
los	los	los
retablos	retablos	retablos
y	y	y
todo	todo	toda
una	una	una
riqueza	riqueza	riqueza,
~.	~.	porque
Porque	Porque	había
había	había	un
un	un	monumento
monumento	monumento	que
que	que	no
no	no	vemos
había	había	otro
más	más	capital
que	que	de
otro	otro	cuenta
capital	capital	en
de	de	la
Cuenca	Cuenca	iglesia
~,	~,	de
la	la	Salvador,
iglesia	iglesia	de
de	de	alianzas,
Salvador	Salvador	el
de	de	distrito
lienzos	lienzos	es
[A-Inn]	[A-Inn]	lo
es	es	último.
lo	lo	Si
último	último	ahora
~.	~.	viene
Si	Si	de
ahora	ahora	regluma
viene	viene	esta
de	de	casa,
Roma	Roma	nos
a	a	derruma
esta	esta	nosotros,
casa	casa	que
~,	~,	hacemos
los	los	aquí
de	de	con
Roma	Roma
a	a
nosotros	nosotros
~,	~,
¿~	¿~
qué	qué
hacemos	hacemos
aquí	aquí
con	con
hablar	hablar
~?	~?
