estandar	dialectal	whisper
Sí	Sí	¿No
~,	~,	ha
claro	claro	visto
~,	~,	nunca
pos	pos	cómo
eso	eso	se
~,	~,	metían
pos	pos	el
con	con	estripa
una	una	rocholizos?
máquina	máquina	Sí,
~.	~.	caro.
Poner	Poner	Pues,
una	una	supongo,
máquina	máquina	con
~,	~,	una
que	que	máquina,
tenías	tenías	con
una	una	una
boca	boca	máquina
así	así	que
grande	grande	tenía
y	y	su
~…	~…	una
~,	~,	boca
y	y	gigante
aquí	aquí	y
una	una	aquí
manivela	manivela	una
~,	~,	manivela.
y	y	Y
por	por	por
ahí	ahí	ahí
[OTRAS-EM]	[OTRAS-EM]	metí
le	le	ahí
metían	metían	y
y	y	molían
molían	molían	así,
así	así	por
y	y	aquí
por	por	había
aquí	aquí	un
había	había	común
como	como	colado
un	un	y
colador	colaó	parecía
y	y	salir
por	por	toda
áhi	áhi	la
salía	salía	carne
toda	to	molía.
la	la	Y
carne	carne	luego,
molida	molía	la
y	y	llenaban,
luego	luego	ponía
pos	pos	una
la	la	embudo
llenaban	llenaban	en
~,	~,	esa
ponían	ponían	máquina,
un	un	ponía
embudo	embudo	así
en	en	con
esa	esa	la
máquina	máquina	forma
~,	~,	de
ponían	ponían	un
así	así	embudo,
como	como	mediada
a	a	en
forma	forma	la
de	de	atripa
un	un	y
embudo	embudo	bandando
~,	~,	la
metían	metían	masa
la	la	allí
tripa	tripa	y
~,	~,	salía
iban	iban	a
dándole	dándole	la
y	y	otra
la	la
masa	masa
aquí	aquí
y	y
salían	salían
los	los
chorizos	chorizos
y	y
ya	ya
está	está
~.	~.
[A-Nul]	[A-Nul]
