estandar	dialectal	whisper
~¡~	~¡~	No
Muy	Muy	les
atrasaos	atrasaos	estaba
~!	~!	esto.
~,	~,	Llevé
en	en	todo
lo	lo	el
que	que	rumo.
es	es	No
[OTRAS-EM]	[OTRAS-EM]	me
~.	~.	animo
Muy	Muy	a
atrasaos	atrasaos	bien.
~.	~.	Entonces
No	No	no,
se	se	voy
mentalizaba	mentalizaba	a
uno	uno	ver
que	que	a
~,	~,	la
que	que	chavada.
~,	~,	Es
que	que	más,
~…	~…	y
~,	~,	todo
que	que	esto.
pudiéramos	pudiéramos
tú	tú
y	y
yo	yo
estar	estar
aquí	aquí
estudiando	estudiando
juntos	juntos
~.	~.
Ni	Ni
~…	~…
~¡~	~¡~
Uy	Uy
~,	~,
uy	uy
~,	~,
uy	uy
~!	~!
