estandar	dialectal	whisper
No	No	Nosotros
~,	~,	cuando
nosotros	nosotros	matábamos
cuando	cuando	el
matábamos	matábamos	cerdo,
el	el	no
cerdo	cerdo	sabéis
~,	~,	que
aquí	aquí	aquí
en	en	en
mi	mi	mi
casa	casa	casa
~,	~,	por
por	por	ejemplo
ejemplo	ejemplo	y
~,	~,	la
la	la	mayoría
mayoría	mayoría	no
no	no	mataban
mataba	mataba	a
a	a	ti,
nadie	nadie	no
~.	~.	lo
Que	Que	maté,
no	no	que
lo	lo	en
~…	~…	mi
que	que	casa
en	en	nadie
mi	mi	de
casa	casa	los
nadie	nadie	que
de	de	estábamos
los	los	matábamos
que	que	el
estábamos	estábamos	cerdo.
matábamos	matábamos	Yo
el	el	la
cerdo	cerdo	avisaba
~.	~.	a
Yo	Yo	un
le	le	carnicero,
avisaba	avisaba	venía
a	a	al
un	un	carnicero
carnicero	carnicero	que
~,	~,	tenía
venía	venía	aquí
el	el	y
carnicero	carnicero	venía,
[HS:E2	[HS:E2	me
		[Asent]			[Asent]	mataba
~.	~.	al
		]			]	cerdo,
que	que	y
~…	~…	yo
que	que	le
tenían	tenían	pagaba
aquí	aquí	a
y	y	los
venía	venía	meques.
~,	~,	ven
me	me	con
mataba	mataba	la
el	el
cerdo	cerdo
~,	~,
yo	yo
le	le
pagaba	pagaba
al	al
hombre	hombre
lo	lo
que	que
me	me
cobraba	cobraba
y	y
ya	ya
está	está
~.	~.
