estandar	dialectal	whisper
A	A	un
un	un	patro
papa	papa	en
no	no	los
se	se	celados
le	le	autototias,
hace	hace	que
autopsia	autopsia	simulió
~.	~.	por
[PS]	[PS]	un
Que	Que	muro,
si	si	porque
murió	murió	ha
~,	~,	muerto,
pues	pues	va
murió	murió	a
~.	~.	muy
«~	«~	rapó,
¿~	¿~	el
Por	Por	médico
qué	qué	ha
ha	ha	ido
muerto	muerto	investigado
~?	~?	que
~»	~»	ha
~.	~.	muerto
«~	«~	porque
Ah	Ah	tuvo
~,	~,	una
mira	mira	edema
~,	~,	pulmona,
pos	pos	que
~,	~,	la
el	el	Rochester
médico	médico	Busanía
ha	ha	lo
diagnosticao	diagnosticao	llamó
que	que	vueltos
ha	ha	todos
muerto	muerto	los
porque	porque	resultados
~…	~…	a
tuvo	tuvo	punto
un	un	de
~…	~…
un	un
edema	edema
pulmonar	pulmoná
pero	pero
~…	~…
aquí	aquí
no	no
se	se
le	le
hace	hace
autopsia	autopsia
ni	ni
Dios	Dios
~»	~»
~.	~.
O	O
sea	sea
que	que
si	si
se	se
ha	ha
envenenado	envenenado
se	se
ha	ha
envenenao	envenenao
~.	~.
[RISA]	[RISA]
