estandar	dialectal	whisper
Bueno	Bueno	Bueno,
~,	~,	bueno,
bueno	bueno	bueno.
~,	~,	El
bueno	bueno	día
~,	~,	de
el	el	la
día	día	matanza,
de	de	después,
~,	~,	habrá
[OTRAS-EM]	[OTRAS-EM]	comida
[HS:E1	[HS:E1	y
		¿~			¿~	a
Quién	Quién	esto
~,	~,	se
quién	quién	reunía
mataba	mataba	toda
al	al	la
cerdo	cerdo	familia,
~?	~?	los
		]			]	hermanos,
el	el	los
día	día	primos
de	de	y
la	la	los
matanza	matanza	hermanos
~,	~,	del
después	después	mi
~,	~,	papá
a	a	de...
la	la	Era
comida	comida	un
y	y	día
a	a	de
esto	esto	fiesta,
se	se	¿verdad?
reunía	reunía	Y
toda	toda	como...
la	la	Mezaba,
familia	familia
~,	~,
los	los
her-	her-
~,	~,
los	los
hermanos	hermanos
~,	~,
los	los
primos	primos
y	y
~,	~,
y	y
los	los
hermanos	hermanos
de	de
mi	mi
padre	padre
~,	~,
y	y
era	era
un	un
~,	~,
era	era
un	un
día	día
de	de
~,	~,
un	un
día	día
de	de
~,	~,
eh	eh
~,	~,
de	de
fiesta	fiesta
que	que
diríamos	diríamos
~,	~,
eh	eh
~,	~,
[HS:E1	[HS:E1
		¿~			¿~
Y	Y
~,	~,
y	y
cómo	cómo
~…	~…
~?	~?
		]			]
y	y
trabajo	trabajo
~,	~,
eh	eh
~.	~.
