estandar	dialectal	whisper
Bueno	Bueno	Yo
~,	~,	se
yo	yo	dio
sé	sé	algunos,
de	de	el
~,	~,	amigo
de	de	Netso
alguno	alguno	Resumble,
~,	~,	que
que	que	es
era	era	la
amigo	amigo	familia
nuestro	nuestro	Mueva
[A-Inn]	[A-Inn]	del
sacado	sacao	Ruizio,
a	a	de
mí	mí	la
la	la	pectita
muela	muela	y
del	del	bajo
juicio	juicio	de
~,	~,	la
que	que	ensina
era	era	y
~…	~…	bajo
dentista	dentista	de
~,	~,	los
¿~	¿~	pueblos,
eh	eh	y
~?	~?	bajo
Y	Y	de
debajo	debajo	la
de	de	ensina
las	las	se
encinas	encinas	sentaba
~…	~…	del
Iba	Iba	hombre,
al	al	y
pueblo	pueblo	bajo
el	el	de
médico	médico	la
ese	ese	mule
~,	~,	de
en	en	la
su	su	ensina
coche	coche	y
~,	~,	bajo
y	y	de
debajo	debajo	los
de	de
las	las
encinas	encinas
se	se
sentaba	sentaba
el	el
[HS:I1	[HS:I1
		Sí			Sí
~.	~.
		]			]
hombre	hombre
y	y
~,	~,
y	y
~,	~,
y	y
le	le
sacaba	sacaba
la	la
muela	muela
allí	allí
a	a
puro	puro
dolor	dolor
~.	~.
