estandar	dialectal	whisper
Pues	Pues	Estas
termina	termina	dudas?
lo	lo	¿Las
de	de	motivas
la	la	firmano...?
matanza	matanza	¿Tiene
si	si	la
quieres	quieres	tö
~,	~,	watershed?
porque	porque	Sos
te	te	tipos
~…	~…	de
[HS:E1	[HS:E1	chocolate
		Sí			Sí	vidéo,
~,	~,	пишó
es	es	como
que	que
~…	~…
		]			]
porque	porque
hemos	hemos
empezao	empezao
mal	mal
lo	lo
de	de
la	la
matanza	matanza
~,	~,
porque	porque
había	había
que	que
haber	haber
hablao	hablao
primero	primero
y	y
luego	luego
te	te
lo	lo
tendría	tendría
que	que
haber	haber
explicao	explicao
~.	~.
Lo	Lo
que	que
has	has
puesto	puesto
ahí	ahí
no	no
lo	lo
has	has
puesto	puesto
bien	bien
~,	~,
claro	claro
~.	~.
