estandar	dialectal	whisper
Sí	Sí	Sí,
~.	~.	una
Una	Una	vez
vez	vez	hice
hice	hice	un
el	el	rollo
~…	~…	de
un	un	carne
rollo	rollo	y
de	de	le
carne	carne	trajo
~.	~.	como
Ella	Ella	un
trájome	trájome	rollo
un	un	de
rollo	rollo	paserca,
de	de	rollo,
~,	~,	pero
pa	pa	ella
hacer	hacer	como
ca-	ca-	salía,
~,	~,	ella
[OTRAS-EM]	[OTRAS-EM]	no
rollo	rollo	hacía
~,	~,	nada,
pero	pero	pues
ella	ella	si
como	como	vas
salía	salía	a
ella	ella	estar
no	no	la
hacía	hacía	hora
nada	nada	a
~,	~,	la
pues	pues	comida
íbase	íbase	a
hasta	hasta	las
la	la	dos,
hora	hora	no
la	la	me
comida	comida	enía,
~,	~,	barrer
las	las	la
dos	dos	macheta.
[L-Otra:	[L-Otra:	Y
		non			non	a
		]			]	la
venía	venía	tabla,
~,	~,	piquen
[L-Otra:	[L-Otra:	la
		garré			garré	piquen
		]			]	la
la	la	piquen
macheta	macheta	la
[L-Otra:	[L-Otra:	piquen,
		y			ya	bien,
		]			]	bien,
la	la	bien,
tabla	tabla	bien,
~…	~…	bien.
Piquéla	Piquéla	Hasta
~,	~,	que
piquéla	piquéla	la
~,	~,	tejé
piquéla	piquéla	como
~,	~,	cuando
piquéla	piquéla	las
bien	bien	traves
~,	~,	de
bien	bien	las
~,	~,	tiras,
bien	bien	de
~,	~,	las,
bien	bien	muy
~,	~,	amantes,
bien	bien	de
~,	~,	los
bien	bien	sitios
~,	~,	donde
hasta	hasta	compras
que	que	la
la	la	carne,
dejé	dejé	de
como	como	las
~…	~…	carne
cuando	cuando	cerías.
la	la	Y
traes	traes	vea,
de	de	ya
la	la	tienes
tien-	tien-	la,
~,	~,	y
de	de	vea
las	las	la
~,	~,	otra
¿~	¿~	que
cómo	cómo	estaba
llaman	llaman	ahí
~?	~?	conmigo,
De	De	pero
~,	~,	qué
de	de	pasa.
~…	~…	Me
de	de	impone
los	los	ese
sitios	sitios	rollo,
donde	donde	me
compras	compras	decamos,
la	la	y
carne	carne	hoy
~.	~.	voy
De	De	a
las	las	hacer
carnicerías	carnicerías	una
~,	~,	cosa,
y	y	que
venga	venga	se
[L-Otra:	[L-Otra:	me
		y			ya	plasó
		]			]	a
[L-Otra:	[L-Otra:	mi
		dizme			dizme	por
		]			]	la
la	la	cabeza
~,	~,	y
y	y	tiene
[L-Otra:	[L-Otra:	que
		dizme			dizme	estar
		]			]	bueno,
la	la	pero
otra	otra	todos
que	que	será
estaba	estaba	que
ahí	ahí	tenga
conmigo	conmigo	que
~:	~:	machar,
«~	«~	no
Pero	Pero	me
qué	qué	importa,
[L-Otra:	[L-Otra:	como
		fas			fas	eso,
		]			]	porque
		son
Anonimizado	Anonimizado	casos
		a
~,	~,	mí.
[L-Otra:	[L-Otra:	Piquelo,
		non			non	tado
		]			]	bien,
pones	pones	bien,
el	el	bien,
rollo	rollo	bien,
~»	~»	bien,
~.	~.	piquela,
«~	«~	se
Me	Me	voy
cago	cago	a
en	en	bien,
diez	diez	bien,
~,	~,	el
hoy	hoy	ajo,
voy	voy	sarlelo
a	a	y
hacer	hacer	cheque
una	una	mientos
cosa	cosa	de
que	que	botes,
se	se	piquelo
me	me	bien,
pasó	pasó	todo,
a	a	todo,
mí	mí	todo
por	por	y
la	la	a
cabeza	cabeza	base
y	y	todo,
[L-Otra:	[L-Otra:	todo,
		tien			tien	y
		]			]	ahí
que	que	se
estar	estar	harina,
bueno	bueno	un
~»	~»	poco
~.	~.	de
Digo	Digo	harina,
~:	~:	para
«~	«~	que
To	To	arrimara.
será	será	Y
que	que	después
tenga	tenga	ya
que	que	tabla,
marchar	marchar	el
~,	~,	horno
no	no	estaba
me	me	encendido,
importa	importa	tenía
~.	~.	que
Lo	Lo	meterle
que	que	al
me	me	ojo.
sobran	sobran	Y
son	son	va
casas	casas	arrimando
a	a	y
mí	mí	así,
~»	~»	así,
~.	~.	haciendo
Piquelo	Piquelo	y
todo	tado	así,
bien	bien	así,
~,	~,	así,
bien	bien	así,
~,	~,	así,
bien	bien	así,
~,	~,	reported.
bien	bien	¡Disc
~,	~,	es
bien	bien
~;	~;
piqué	piqué
la	la
cebolla	cebolla
bien	bien
~,	~,
bien	bien
~;	~;
el	el
ajo	ajo
~,	~,
salélo	salélo
y	y
eché	eché
pimientos	pimientos
de	de
bote	bote
~,	~,
piquelo	piquelo
bien	bien
todo	todo
~,	~,
todo	todo
~,	~,
todo	todo
~,	~,
ya	ya
amáselo	máselo
todo	todo
así	así
~,	~,
todo	todo
~,	~,
todo	todo
~,	~,
todo	todo
~,	~,
y	y
eché	eché
harina	harina
~,	~,
un	un
poco	poco
de	de
harina	harina
pa	pa
que	que
harinara	harinara
~.	~.
[L-Otra:	[L-Otra:
		Y			Ya
		]			]
después	después
~,	~,
la	la
tabla	tabla
~…	~…
el	el
horno	horno
estaba	estaba
encendido	encendido
~,	~,
eh	eh
~,	~,
tenía	tenía
que	que
meterlo	meterlo
a	a
~,	~,
al	al
horno	horno
~.	~.
Iba	Iba
harinando	harimando
y	y
así	así
~,	~,
así	así
~,	~,
y	y
haciendo	haciendo
y	y
así	así
~,	~,
así	así
~,	~,
así	así
~,	~,
pa	pa
que	que
se	se
fuera	fuera
poniendo	poniendo
~…	~…
