estandar	dialectal	whisper
el	el	El
carro	carro	garno
[A-Inn]	[A-Inn]	de
las	las	la
personas	personas	persona
que	que	que
se	se	se
dedicaban	dedicaban	dedica
a	a	a
~,	~,	van
a	a	a
hacer	hacer	hacer
los	los	los
carros	carros	cargos
~.	~.	y
Aquí	Aquí	lo
no	no	hacíamos
lo	lo	tampoco.
hacíamos	hacíamos	Los
tampoco	tampoco	arregos
~.	~.	de
Los	Los	esos
arreos	arreos	de
esos	esos	la
de	de	garna
~,	~,	tierra
de	de	tampoco
labrar	labrar	todos,
la	la	pero
tierra	tierra	la
~,	~,	mayoría
tampoco	tampoco	así.
todos	todos	Los
~,	~,	arregos
pero	pero	para
la	la	ellos
mayoría	mayoría	no
sí	sí	hacían.
~,	~,	Los
[HS:E1	[HS:E1	arregos
		[Asent]			[Asent]	de
~.	~.	los
		]			]	de
los	los	la
arreos	arreos	garna
~,	~,	no
pero	pero
ellos	ellos
hacían	hacían
~…	~…
los	los
hacíamos	hacíamos
nosotros	nosotros
~.	~.
