estandar	dialectal	whisper
Ah	Ah	Ah,
~,	~,	pero
pero	pero	al
por	por	medio
~,	~,	pueblo
al	al	no
medio	medio	entraba,
el	el	porque
pueblo	pueblo	había
no	no	perros
entraban	entraban	y
~…	~…	había
[HS:E2	[HS:E2	no...
		[Asent]			[Asent]	Estaba
~.	~.	al
		]			]	pueblo
porque	porque	en
había	había	el
perros	perros	mar
y	y	de
había	había	Diembecenos,
~…	~…	no
estaba	estaba	había
el	el	gente.
pueblo	pueblo	¿N
más	más
de	de
cien	cien
vecinos	vecinos
~.	~.
~¡~	~¡~
No	No
había	había
gente	gente
~…	~…
~!	~!
[HS:E2	[HS:E2
		[Asent]			[Asent]
~.	~.
		]			]
No	No
~,	~,
no	no
~,	~,
[HS:E1	[HS:E1
		[A-PIn:			[A-PIn:
		O			O
sea	sea
que	que
		]			]
		]			]
pero	pero
es	es
eso	eso
~.	~.
