estandar	dialectal	whisper
|T13|	|T13|	Me
Muy	Muy	hemos
~,	~,	vivido
muy	muy	muy
~…	~…	mal,
~,	~,	porque
hemos	hemos	yo
vivido	vivido	cuando
[OTRAS-EM]	[OTRAS-EM]	me
muy	muy	casé,
mal	mal	lo
~,	~,	primero
muy	muy	que
mal	mal	tuve
~.	~.	fue
Porque	Porque	un
yo	yo	niño,
cuando	cuando	porque
me	me	yo
casé	casé	la
~,	~,	verdad
lo	lo	es
primero	primero	una
que	que	cosa
tuve	tuve	que
fue	fue	me
un	un	había
niño	niño	que
~,	~,	decir
porque	porque	a
yo	yo	donde
la	la	estaba
verdá	verdá	pero
~,	~,	aprendimos
es	es	esa
una	una	idea,
cosa	cosa	ya
que	que	los
nadie	nadie	9
te	te	meses
decía	decía	y
dónde	dónde	que
estaba	estaba	el
~,	~,	día
pero	pero	me
aprendimos	aprendimos	vino
enseguida	enseguida	de
[RISAS]	[RISAS]	lo
y	y	primero
a	a	un
los	los	niño.
nueve	nueve	A
meses	meses	los
y	y	15
~…	~…	meses
~,	~,	del
y	y	10
quince	quince	niño
días	días	me
me	me	vino
vino	vino	el
lo	lo	otro,
primero	primero	el
un	un	que
niño	niño	se
~.	~.	era
A	A	el
los	los
quince	quince
meses	meses
del	del
~…	~…
~|	~|
de	de
ese	ese
niño	niño
me	me
vino	vino
el	el
otro	otro
~,	~,
[HS:E1	[HS:E1
		~¡~			~¡~
Ay	Ay
~!	~!
Qué	Qué
seguiditos	seguiditos
~,	~,
		]			]
el	el
que	que
es	es
el	el
alcalde	alcalde
~.	~.
