estandar	dialectal	whisper
Allí	Allí	A
me	me	mí
vio	vio	me
allí	allí	dio
~…	~…	alís.
[HS:I1	[HS:I1	¿Cómo
		Porque			Porque	tenía?
mira	mira	Me
~…	~…	ganaba
		]			]	todo
en	en	una
Granada	Graná	hora
tos	tos	de
los	los	especialista
mejores	mejores	que
especialistas	especialistas	a
que	que	alguien
había	había	es.
en	en	Me
el	el	vieron
Clínico	Clínico	a
~,	~,	mí
[HS:I1	[HS:I1	aquí,
		[A-Inn]			[A-Inn]	aquí.
		]			]	Y
me	me	a
vieron	vieron	uno
a	a	de
mí	mí	los
aquí	aquí
en	en
la	la
pierna	pierna
y	y
ya	ya
uno	uno
dijo	dijo
de	de
operarme	operarme
y	y
~…	~…
