estandar	dialectal	whisper
Sí	Sí	hay
~.	~.	que
		]			]	poner
Hay	Hay	un
que	que	poco
poner	poner	de
un	un	aceite,
poco	poco	si
de	de	un
aceite	aceite	poco
~,	~,	de
[HS:E1	[HS:E1	aceite,
		[Asent]			[Asent]	si
~.	~.	las
		]			]	quieres
sí	sí	durses
~,	~,	un
un	un	poco
poco	poco	de
de	de	aceite,
aceite	aceite	agua
~.	~.	y
Si	Si	azúcar.
las	las	Y
quieres	quieres	si
dulces	dulces	las
~,	~,	quieres
un	un	salas,
poco	poco	dámás
de	de	el
aceite	aceite	aceite
~,	~,	y
agua	agua	un
y	y	poco
azúcar	azúcar	de
~.	~.	sal,
[HS:E1	[HS:E1	muchas
		[Asent]			[Asent]	dar
~.	~.	una
		]			]
Y	Y
si	si
las	las
quieres	quieres
saladas	salás
~,	~,
na	na
más	más
el	el
aceite	aceite
y	y
la	la
s-	s-
~,	~,
un	un
poco	poco
de	de
sal	sal
~,	~,
mucha	mucha
sal	sal
no	no
[A-PIn:	[A-PIn:
		porque			porque
		]			]
si	si
no	no
[A-PIn:	[A-PIn:
		las			las
haces	haces
		]			]
muy	muy
saladas	salás
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Eso	Eso
~,	~,
así	así
~.	~.
