estandar	dialectal	whisper
Porque	Porque	ahi
vaciaban	vaciaban	como
el	el	orang
melón	melón	Jones
¿~	¿~	estaba
o	o	se
qué	qué	lubricaba
 	 	todo
 	 	esto
 	 	de
 	 	momento
 	 	Me
 	 	no
 	 	se
 	 	ponia
 	 	en
 	 	RP
 	 	o
 	 	synergcado
 	 	En
 	 	lizo
 	 	a
 	 	gente
 	 	haría
 	 	un聯o
 	 	es
 	 	marchar
 	 	Que
 	 	era
 	 	hipórites
 	 	Paso
 	 	Bueno
 	 	didn´t
 	 	Bo
 	 	caso
 	 	El
 	 	no!",
 	 	se
 	 	se
 	 	fue
 	 	La
 	 	returning
 	 	N
 	 	können
 	 	Ges
 	 	Yaqugrowth
 	 	Llor
 	 	Guje
 	 	느�are
