estandar	dialectal	whisper
Y	Y	Y
si	si	si
es	es	es
de	de	de
manga	manga	manga
~,	~,	me
me	me	he
sobra	sobra	sobramita
la	la	de
mitad	mitá	la
de	de	manga.
la	la	Pero
manga	manga	es
~.	~.	de
[RISAS]	[RISAS]	la
[V-Ljn]	[V-Ljn]	vida
Es	Es	igual
lo	lo	que
de	de	la...
la	la	Que
mía	mía	es
igual	igual	mayor,
que	que	o
la	la	que
		más
Anonimizado	Anonimizado	alta.
		Que
que	que	no
es	es	le
mayor	mayor	llego,
~,	~,	con
que	que	mucho
es	es	miedo,
más	más	pero
alta	alta	me
~.	~.	soja
[RISAS]	[RISAS]	también
Ya	Ya	la
ves	ves	escalera.
~,	~,	Y
que	que	yo
no	no	les
le	le	diga,
llego	llego	mi
~.	~.	marío,
Con	Con	que
mucho	mucho	si
miedo	miedo	no
~,	~,	me
pero	pero	cojo
me	me	los
sujeto	sujeto	clavos
bien	bien	del
las	las	cielo.
escaleras	escaleras	Es
~.	~.	por
[RISAS]	[RISAS]	lo
Y	Y	que
yo	yo	hay.
le	le	Así
explico	explico	que
a	a	ya
mi	mi	sé,
marido	marío	digo,
~:	~:	yo
y	y	sé,
si	si	me
no	no	chiene
me	me	y
cojo	cojo	tengo
a	a	tres
los	los	discos,
clavos	clavos	no
del	del	tres
cielo	cielo	soles.
~.	~.	A
[RISAS]	[RISAS]
Pa	Pa
no	no
caerme	caerme
~.	~.
[RISAS]	[RISAS]
Así	Así
que	que
ya	ya
te	te
digo	digo
~,	~,
hija	hija
~.	~.
Yo	Yo
soy	soy
muy	muy
chiquinina	chiquinina
y	y
todo	to
y	y
tengo	tengo
tres	tres
hijos	hijos
como	como
tres	tres
soles	soles
~.	~.
A	A
ver	vé
~.	~.
