estandar	dialectal	whisper
Nosotros	Nosotros	Nosotros
no	no	no
~,	~,	que
que	que	en
en	en	mi
mi	mí	casa
casa	casa	le
le	le	compramos
compramos	compramos	cuando
[R-Ind]	[R-Ind]	tenía
cuando	cuando	ya
~…	~…	8,
tenía	tenía	10
ya	ya	kilos,
ocho	ocho	6,
o	o	8,
diez	diez	10
kilos	kilos	kilos,
~,	~,	porque
seis	seis	la
~,	~,	explicaré
ocho	ocho	todo,
o	o	la
diez	diez	explicaré
kilos	kilos	todo.
~,	~,	No
[HS:E1	[HS:E1	está
		~¡~			~¡~	en
Ah	Ah	aquello
~,	~,	el
pero	pero	sistema
~!	~!	antiguo,
		]			]	no
porque	porque	moderno,
l'explicaré	l'explicaré	pues
todo	todo	cogíamos,
~,	~,	después
l'explicaré	l'explicaré	de
todo	todo	ver,
~.	~.	no
[HS:E1	[HS:E1	cogíamos.
		Sí			Sí	Un
~.	~.	carro
		]			]	de
Noso-	Noso-	trigo
~,	~,	lo
nuestra	nuestra	digo
casa	casa	porque
en	en	es
aquel	aquel	verdad,
sistema	sistema	la
antiguo	antiguo	elevaba
no	no	al
a-	a-	boleno
~,	~,	y
no	no	por
moderno	moderno	un
~,	~,	ejemplo
[HS:E1	[HS:E1	mil
		[Asent]			[Asent]	kilos
~.	~.	de
		]			]	trigo
pues	pues	o
cogíamos	cogíamos	mil
después	después	500
de	de	de
verano	verano	sacíamos
~,	~,	harina
cogíamos	cogíamos	para
un	un	todo
carro	carro	lo
de	de	año,
trigo	trigo	pero
~,	~,	el
lo	lo	resido
digo	digo	de
porque	porque	esa
es	es	harina
verdá	verdá	que
~,	~,	eran
[HS:E1	[HS:E1	los
		Bueno			Bueno	albaos
~,	~,	y
bueno	bueno	la
~.	~.	tercera
		]			]	harilla
le	le	y
llevaba	llevaba	tal
al	al	igual
molino	molino	pues
y	y	lo
~,	~,	teníamos
por	por	y
un	un	en
ejemplo	ejemplo	nuestra
~,	~,	casa
mil	mil	cuando
kilos	kilos	comía
de	de	los
trigo	trigo	residos
o	o	de
mil_quinientos	mil_quinientos	esos
[HS:E1	[HS:E1	kilos
		Sí			Sí	de
~.	~.	trigo
		]			]	que
les	les	les
hacíamos	hacíamos	hacíamos
harina	harina	de
para	para	trigo
todo	todo	harina,
el	el	tiene,
año	año	se
~.	~.	mataba
Pero	Pero	al
el	el
residuo	residuo
de	de
esa	esa
harina	harina
~,	~,
que	que
eran	eran
los	los
salvaos	salvaos
y	y
la	la
tercerilla	tercerilla
y	y
tal	tal
y	y
cual	cual
~,	~,
pues	pues
lo	lo
teníamos	teníamos
y	y
en	en
nuestra	nuestra
casa	casa
~;	~;
cuando	cuando
comía	comía
los	los
residuos	residuos
de	de
lo-	lo-
~,	~,
esos	esos
kilos	kilos
de	de
trigo	trigo
que	que
les	les
hacíamos	hacíamos
de	de
trigo	trigo
~,	~,
harina	harina
~,	~,
¿~	¿~
entiende	entiende
~?	~?
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
se	se
mataba	mataba
el	el
cerdo	cerdo
~.	~.
